Calendar Year Filed,Violation State,Number of Filed Cases,Number of Filed Cases with a Race Basis,Number of Filed Cases with an Asian Race Basis,Number of Filed Cases with an Asian and White Race Basis,Number of Filed Cases with a Black or African-American Race Basis,Number of Filed Cases with a Black and White Race Basis,Number of Filed Cases with a Hawaiian or Pacific-Islander Race Basis,Number of Filed Cases with a Native American Race Basis,Number of Filed Cases with a Native American and Black  Race Basis,Number of Filed Cases with a Native American and White Race Basis,Number of Filed Cases with a White Race Basis,Number of Filed Cases with an Other Mult-Racial Race Basis,Number of Filed Cases with a Color Basis,Number of Filed Cases with a National Origin Basis,Number of Filed Cases with an Hispanic National Origin Basis,Number of Filed Cases with a Disability Basis,Number of Filed Cases with a Familial Status Basis,Number of Filed Cases with a Religion Basis,Number of Filed Cases with a Sex Basis,Number of Filed Cases with a Retaliation Basis,Number of Charges,Number of Administrative Closures,Number of Conciliations and Settlements,Number of Withdrawals after Resolution,Number of No Reasonable Cause Determinations,Number of Department of Justice Closures,Number of Post-Cause Closures by State and Local Partner Agencies,Number of Administrative Law Judge Closures,Number of Elections to Federal District Court,Number of Appeals or Supreme Court Closures,Number of Open Cases
2007,Tennessee,196,103,1,,67,8,,1,,,10,16,19,30,25,83,17,10,35,2,,19,34,15,127,,,,,,
2007,Texas,884,386,3,,334,6,,3,,1,36,3,9,139,110,313,108,12,117,44,1,138,173,133,437,,,,1,,
2007,Utah,107,9,1,,4,,,1,,1,2,,26,40,12,47,14,8,10,7,,31,32,9,25,,7,,,,
2007,Vermont,23,1,,,1,,,,,,,,,1,,11,9,1,2,1,,4,9,,6,,3,,,,
2007,Virginia,120,44,1,,37,1,,,,,5,,1,14,4,36,22,6,16,4,2,15,23,4,60,1,11,,2,,
2007,Washington,309,95,6,,72,2,1,,1,2,7,4,3,34,17,173,27,7,22,23,,53,83,16,152,,3,,,,
2007,West Virginia,46,26,,,17,,,,,,9,,1,,,21,7,,8,5,,5,12,10,16,,1,,,,
2007,Wisconsin,76,30,,,25,3,,1,,,1,,,7,2,34,15,1,6,4,1,15,21,14,25,,,1,,,
2007,Wyoming,15,1,,,,,,1,,,,,,4,2,8,1,1,1,4,,4,3,1,7,,,,,,
2007,Total,"10,264","3,779",72,12,"3,075",164,3,65,21,16,294,57,225,"1,315",796,"4,479","1,471",281,"1,087",576,34,"1,641","1,894","1,178","4,982",11,341,10,23,1,0
2008,Alabama,189,96,,,80,7,,,,,9,,6,24,1,68,28,2,42,5,4,59,17,28,75,6,,1,3,,
2008,Alaska,9,2,,,,,,1,,1,,,,1,1,6,1,,,,,2,2,1,4,,,,,,
2008,Arizona,272,63,3,,46,3,,6,,1,4,,1,49,32,117,33,11,14,26,1,23,41,25,176,,5,,1,,
2008,Arkansas,118,75,1,,58,4,,1,,,8,3,2,4,3,47,9,3,17,6,,11,38,25,44,,,,,,
2008,California,"1,274",290,16,,241,11,2,1,1,,11,7,9,126,79,639,233,27,82,97,,151,332,122,616,8,40,,,,
2008,Colorado,119,36,1,,28,2,,3,,,2,,3,16,14,68,12,1,7,5,,9,3,20,83,,1,,,,
2008,Connecticut,129,32,,,29,2,,,,,,1,6,22,11,52,27,3,9,10,,29,34,13,40,,11,,,,
2008,Delaware,24,13,1,,11,,,,,,1,,,,,9,1,,3,,,3,7,4,10,,,,,,
2008,District of Columbia,55,13,2,,10,,,,,,1,,,6,2,24,10,3,2,3,,9,10,3,31,,1,,,,
2008,Florida,817,249,4,,189,9,1,1,2,,34,9,21,121,74,427,110,34,89,49,4,142,90,50,465,3,45,3,1,,
2008,Georgia,321,169,3,,153,4,,,,,8,1,17,46,34,120,47,17,73,10,,104,48,27,140,2,,,,,
2008,Hawaii,63,11,1,1,4,,2,,,,2,1,,6,1,29,18,1,7,9,,10,25,6,20,,1,,,,
2008,Idaho,28,2,,1,,,,1,,,,,,5,4,15,3,2,1,,1,7,6,4,10,,,,1,,
2008,Illinois,385,157,4,,142,1,,1,,,8,1,3,41,24,139,75,13,18,27,3,98,21,94,148,2,1,2,1,,
2008,Indiana,205,105,2,1,90,4,,3,,,5,,,7,5,75,23,3,15,5,1,51,22,27,90,1,4,,1,,
2008,Iowa,246,110,2,,91,3,1,1,1,1,9,1,4,25,18,93,23,2,25,18,1,31,81,7,109,,,1,,,
2008,Kansas,124,40,,,33,,,1,,,5,1,2,14,8,49,23,,8,3,,23,36,20,45,,,,,,
2008,Kentucky,144,70,1,,57,11,,,,,1,,1,12,7,45,29,4,25,9,,44,25,4,66,,1,,,,
2008,Louisiana,100,64,,,58,,,,,,6,,1,3,2,21,20,3,12,3,1,17,27,4,45,2,4,,,,
2008,Maine,44,9,,,2,2,,2,,1,2,,,2,1,29,6,2,3,2,,13,8,3,17,,3,,,,
2008,Maryland,93,36,1,,32,,,1,,,2,,,4,3,35,21,3,12,,,16,4,24,49,,,,,,
2008,Massachusetts,338,84,1,1,68,6,,1,,,6,1,18,50,28,133,88,7,18,12,1,29,13,63,174,3,53,,1,,
2008,Michigan,486,149,3,,124,4,,3,,,14,1,1,30,17,155,164,7,31,13,2,81,86,80,194,1,20,2,,,
2008,Minnesota,85,22,1,1,17,2,,,,,1,,,5,2,44,12,1,7,1,,32,20,11,20,2,,,,,
2008,Mississippi,95,57,,,51,3,,,,,3,,6,4,2,36,22,1,29,4,1,25,8,20,41,,,,1,,
2008,Missouri,292,121,,,100,7,,2,,,12,,2,12,7,117,29,7,35,24,2,43,58,49,131,2,1,,2,,
2008,Montana,8,3,1,,,,,2,,,,,,,,4,,,1,1,,1,2,,5,,,,,,
2008,Nebraska,138,39,,,31,1,,,,,7,,7,43,17,53,13,2,15,11,2,17,41,5,72,,,,2,,
2008,Nevada,105,26,,,17,3,,,,,4,2,1,15,13,45,24,2,4,3,1,34,30,11,29,,,1,,,
2008,New Hampshire,29,3,,,2,,,,1,,,,1,3,1,17,4,,2,1,,5,4,6,14,,,,,,
2008,New Jersey,208,67,,,58,1,,,,,7,1,1,22,12,100,37,14,23,9,,49,27,24,104,,2,,,,
2008,New Mexico,60,13,,,8,1,,,,,4,,,6,5,21,15,8,7,1,1,16,21,7,15,,,1,,,
2008,New York,820,290,12,,202,5,1,2,,2,51,15,81,195,126,424,188,71,216,67,10,102,52,70,506,,47,4,5,1,
2008,North Carolina,250,99,1,1,83,5,,1,,,7,1,,63,52,79,31,3,19,3,,60,58,20,109,,,,,,
2008,North Dakota,36,7,,,2,,,4,1,,,,2,3,,19,9,4,2,1,,3,12,2,15,,3,,,,
2008,Ohio,557,208,3,,190,6,,,,1,7,1,17,56,13,223,107,32,47,43,1,81,130,58,206,7,15,,1,,
2008,Oklahoma,97,32,1,,26,1,,,2,,2,,1,11,8,42,18,,8,4,,12,21,7,55,,2,,,,
2008,Oregon,101,25,2,,18,,,4,,,1,,1,15,14,57,10,4,4,10,1,12,19,5,60,,,,1,,
2008,Pennsylvania,281,90,5,,68,3,1,2,,1,9,1,22,45,26,112,29,15,56,24,,31,78,25,135,,3,,,,
2008,Puerto Rico,28,4,,,,,,1,,,3,,,5,5,28,,2,6,,1,7,12,1,7,,,1,,,
2008,Rhode Island,65,15,,,9,6,,,,,,,12,11,8,26,13,1,2,3,1,9,6,14,27,,8,,1,,
2008,South Carolina,132,74,1,,54,5,,2,,,12,,1,6,3,35,20,6,22,14,,38,28,6,58,,1,,,,
2008,South Dakota,13,6,,,3,,,2,1,,,,1,,,6,6,,1,1,2,,5,2,4,,,,2,,
2008,Tennessee,207,98,,,75,8,,2,,2,9,2,7,30,10,99,28,6,32,5,,36,24,22,120,,,,,,
2008,Texas,920,298,7,,255,5,,1,1,,28,1,10,159,117,385,167,13,78,39,1,109,268,141,397,,1,,1,,
2008,Utah,95,13,,1,8,,1,2,,,1,,3,16,14,39,25,6,7,9,,6,15,19,37,,13,,,,
2008,Vermont,26,4,,,4,,,,,,,,,,,11,9,1,5,,,3,11,1,7,,4,,,,
2008,Virgin Islands,1,1,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,,,,,
2008,Virginia,115,34,3,,24,2,,1,,,4,,1,7,3,49,21,1,12,1,,12,22,8,54,2,2,,,,
2008,Washington,292,84,4,1,63,3,1,5,1,,6,,5,48,23,138,51,10,18,28,1,60,76,14,139,,2,,1,,
2008,West Virginia,40,21,,,15,2,,,,,4,,,2,1,15,4,,5,4,1,4,4,12,18,,1,,1,,
2008,Wisconsin,90,39,,,34,,,3,,,2,,,10,9,40,8,1,4,4,1,18,23,22,26,,,,1,,
2008,Wyoming,13,2,,,1,1,,,,,,,,,,9,1,,,2,,2,5,,6,,,,,,
2008,Total,"10,782","3,670",87,8,"2,965",143,10,63,11,10,322,51,277,"1,407",860,"4,668","1,906",359,"1,181",629,46,"1,790","2,056","1,236","5,068",41,295,16,28,1,0
2009,Alabama,120,64,,,52,5,,,,,7,,5,9,7,51,19,,19,4,2,33,10,36,39,,,,,2,
2009,Alaska,12,2,,,,,,2,,,,,,,,6,5,1,,,,,6,1,5,,,,,,
2009,Arizona,208,53,1,,38,1,1,2,,1,9,,2,29,20,99,22,10,20,24,,26,42,26,111,,2,,,,
2009,Arkansas,124,68,,,62,3,,,,,3,,,2,1,47,8,3,14,9,,11,34,33,45,,1,,,,
2009,California,"1,100",249,13,1,206,6,2,1,,,17,3,3,110,63,549,227,11,70,84,1,114,313,102,521,,42,,1,,
2009,Colorado,99,26,1,,20,1,,,,,4,,4,18,10,56,9,2,7,13,,4,14,10,66,,3,,,,
2009,Connecticut,124,37,,,30,3,,,,,1,3,4,21,12,47,26,2,4,6,2,31,30,12,35,1,8,1,1,,
2009,Delaware,20,6,,,3,1,,,,,1,1,,1,1,11,2,,4,1,,1,5,6,7,,1,,,,
2009,District of Columbia,32,10,,,8,,,,,,2,,,3,2,14,4,1,1,5,,2,8,3,16,,2,,,,
2009,Florida,730,205,1,,168,13,1,,,,19,3,17,128,91,376,89,24,54,38,1,126,110,56,383,,33,,1,,
2009,Georgia,210,121,1,,105,2,,,1,,11,1,11,20,12,94,29,6,52,9,,82,17,23,87,,1,,,,
2009,Guam,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
2009,Hawaii,48,8,,,5,,3,,,,,,,7,4,24,14,2,5,11,,6,13,4,19,,,,,,
2009,Idaho,88,1,1,,,,,,,,,,1,5,1,75,6,,,6,,25,33,8,21,,,,,,1
2009,Illinois,330,133,3,,115,5,,2,,,6,2,4,57,38,135,38,7,32,22,,66,14,79,151,5,1,,,,
2009,Indiana,235,108,,,96,6,,,,,5,1,3,15,9,79,44,1,41,8,,22,46,26,134,,3,,,,
2009,Iowa,219,90,1,,78,4,,2,1,,3,1,5,20,15,85,27,2,27,19,2,22,49,12,123,,5,,2,,
2009,Kansas,112,44,2,,36,2,,2,,,2,,2,19,13,38,21,1,8,6,,15,32,17,44,,1,,,,
2009,Kentucky,102,27,,,22,2,,,,,3,,1,12,12,48,14,3,9,10,,21,12,5,54,,2,,,,
2009,Louisiana,135,82,,,65,2,,2,2,,9,2,1,7,6,41,20,1,12,5,,13,40,3,63,4,7,,,,1
2009,Maine,69,5,,,2,1,,1,,,1,,1,2,1,42,12,3,10,3,,8,21,7,26,1,6,,,,
2009,Maryland,69,22,,,20,,,,,,2,,,8,5,29,10,4,3,3,,10,3,7,48,,,,,,
2009,Massachusetts,265,66,3,,56,4,,,,,3,,11,42,20,109,63,6,7,15,5,14,15,31,156,2,39,,5,,
2009,Michigan,497,183,1,,155,10,,4,1,,12,,4,39,20,177,128,8,34,22,2,38,73,103,202,,9,1,1,,
2009,Minnesota,97,42,1,,31,2,,2,,2,2,2,6,14,7,43,7,1,8,7,2,21,22,19,33,,,,2,,
2009,Mississippi,65,27,,,16,1,,,,,5,5,,6,6,40,18,2,14,2,4,18,3,18,22,,,1,3,,
2009,Missouri,305,110,1,,95,3,,1,1,,9,,,20,10,136,30,6,49,20,2,42,51,47,151,5,3,,2,,
2009,Montana,5,1,,,1,,,,,,,,,,,4,,,,,,,,2,3,,,,,,
2009,Nebraska,117,27,,,20,1,,2,1,,2,1,3,20,12,60,13,4,12,14,,10,28,4,68,,5,,,,
2009,Nevada,70,19,,,18,,,,,,1,,,3,1,40,13,2,6,8,2,11,15,9,33,,,,2,,
2009,New Hampshire,27,3,1,,1,,,,,,1,,1,7,6,12,7,,,,1,8,5,4,9,,,,1,,
2009,New Jersey,205,64,1,,51,2,,,,,8,2,,23,13,113,29,6,27,4,1,33,23,33,99,,7,1,,,
2009,New Mexico,35,7,,,4,,,1,,,2,,,2,2,27,2,1,3,1,,5,10,7,13,,,,,,
2009,New York,848,282,8,,189,9,,5,1,1,49,20,109,195,119,426,215,68,180,93,10,102,81,93,492,,44,6,4,,
2009,North Carolina,182,80,,,63,3,,,1,,12,1,4,35,29,65,23,5,26,3,,34,32,23,85,1,,,,,
2009,North Dakota,50,6,,,3,,,3,,,,,2,1,,29,14,1,1,5,,1,30,1,14,,2,,,,
2009,Ohio,696,210,1,1,169,14,,,1,,22,2,12,39,22,212,258,7,60,29,4,156,137,54,215,,21,2,2,,
2009,Oklahoma,117,36,,,26,3,,2,,,5,,,4,3,59,33,1,5,2,,14,27,8,65,,3,,,,
2009,Oregon,89,17,1,,12,,,2,,1,1,,3,9,2,59,16,3,4,14,,10,23,10,40,,2,,,,1
2009,Pennsylvania,244,83,1,,72,4,,1,,,4,1,2,27,20,100,35,5,32,6,3,27,88,18,96,,,3,,,
2009,Puerto Rico,18,,,,,,,,,,,,,1,1,16,1,,1,,,2,14,,2,,,,,,
2009,Rhode Island,54,15,,,10,3,1,,,,1,,8,6,5,25,8,1,1,3,1,5,6,14,24,,4,,1,,
2009,South Carolina,84,44,,,33,6,,,1,,4,,6,11,8,28,12,1,18,4,,20,15,3,44,,2,,,,
2009,South Dakota,15,5,,,4,,,1,,,,,,,,2,6,1,2,1,3,,6,,6,,,,3,,
2009,Tennessee,153,54,,,40,5,,1,,,8,,5,27,23,69,30,6,21,3,,41,27,6,76,,,,,,
2009,Texas,"1,036",331,3,,271,7,,3,,1,40,6,3,165,130,461,156,32,93,67,,115,298,199,416,1,,,,,
2009,Utah,40,4,,,1,,,3,,,,,,5,4,19,7,3,2,7,,2,6,7,19,1,2,,,,
2009,Vermont,33,2,,,2,,,,,,,,1,3,2,22,4,,2,1,,4,13,,14,,2,,,,
2009,Virginia,152,49,3,2,35,2,,,,,4,3,1,25,11,59,26,10,10,9,,16,41,3,72,,2,,,,
2009,Washington,237,52,1,,41,,,1,,,6,3,4,43,25,136,20,7,21,26,1,31,56,6,143,,,1,,,
2009,West Virginia,63,23,,,19,2,,,,,1,1,,4,4,21,9,1,8,8,1,5,17,8,29,,1,,,,
2009,Wisconsin,111,46,,,44,1,,,,,,1,5,10,8,52,16,3,11,4,2,26,27,20,35,1,,1,1,,
2009,Wyoming,13,1,,,1,,,,,,,,,3,2,7,2,,1,2,,,4,2,7,,,,,,
2009,Total,"10,110","3,251",50,4,"2,614",139,9,46,11,6,307,65,254,"1,282",838,"4,574","1,847",275,"1,051",666,52,"1,450","2,045","1,228","4,681",22,266,17,32,2,3
2010,Alabama,109,64,1,,52,4,,,,,7,,2,5,4,37,11,1,30,1,1,33,12,26,37,,,,1,,
2010,Alaska,6,3,,,3,,,,,,,,,,,3,,,,,,2,1,2,1,,,,,,
2010,Arizona,218,50,,,39,2,,4,2,,3,,,40,26,126,15,5,13,21,,18,23,30,143,,4,,,,
2010,Arkansas,196,119,,,105,2,2,,,,10,,,12,9,54,14,,21,12,,25,39,26,103,,1,,,,
2010,California,"1,047",234,9,1,196,4,,2,,1,18,3,7,148,88,510,204,29,86,144,4,106,304,75,511,7,35,1,3,,
2010,Colorado,109,27,1,,26,,,,,,,,4,7,6,65,11,6,8,24,,4,1,16,80,,4,,,,
2010,Connecticut,107,22,1,,18,2,,,,,1,,3,14,7,62,15,2,2,1,2,11,44,13,33,,3,1,1,,
2010,Delaware,23,5,,,4,,,,,,1,,1,4,3,14,4,,2,,,,10,7,4,,1,,,,
2010,District of Columbia,24,7,,,7,,,,,,,,,2,2,13,4,1,3,2,,2,8,,13,,1,,,,
2010,Florida,723,200,4,,162,11,,1,1,,19,2,8,120,77,399,100,25,94,33,7,119,96,66,393,,22,,7,,
2010,Georgia,258,158,2,,144,3,,1,,,7,1,7,22,10,103,42,8,42,5,,128,20,28,82,,,,,,
2010,Guam,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2010,Hawaii,44,13,,,6,,1,,1,,5,,1,6,1,29,2,1,2,9,,8,5,5,23,,,,,,
2010,Idaho,103,3,,,2,1,,,,,,,,15,8,83,14,2,6,4,,20,37,23,20,,,,,,3
2010,Illinois,385,170,2,,154,2,,1,,,11,,5,53,25,128,49,13,50,26,4,66,20,96,184,1,1,,4,,
2010,Indiana,243,115,1,,98,9,,,,,7,,,19,13,94,32,1,51,10,,26,38,35,126,,3,,,,
2010,Iowa,287,81,,,61,6,,1,,,11,2,2,17,12,154,31,7,27,13,1,28,129,15,107,,4,1,,,
2010,Kansas,139,45,,,40,1,,1,,1,2,,,19,17,65,11,1,17,2,,30,34,18,56,,,,,,
2010,Kentucky,122,44,1,,30,6,,,,,5,2,3,13,6,55,18,4,24,4,,20,25,5,64,1,1,,,,
2010,Louisiana,203,119,,,91,4,,,,,23,1,2,11,7,59,39,4,25,8,,9,80,16,78,2,9,,,,1
2010,Maine,48,11,,,6,1,,3,,,,1,1,4,1,22,11,,3,4,,8,11,3,26,,,,,,
2010,Maryland,84,25,,,24,,,,,,1,,,5,2,40,14,5,7,5,,12,3,5,63,,,,,,
2010,Massachusetts,251,46,1,,35,5,,,,,4,1,3,38,19,102,72,7,7,12,,15,20,35,129,1,44,,,,
2010,Michigan,419,162,1,,129,16,,1,1,2,12,,,33,12,175,84,13,30,23,2,47,62,46,226,,,,2,,
2010,Minnesota,102,31,,,22,6,,2,,,1,,1,11,8,55,14,1,12,3,,38,27,16,21,,,,,,
2010,Mississippi,81,34,,,29,2,,1,,,2,,,3,3,34,15,,13,3,,17,10,15,37,2,,,,,
2010,Missouri,423,143,2,1,110,4,,1,,2,23,,1,24,6,211,32,14,49,28,,72,72,67,190,,3,,,,
2010,Montana,18,4,,,,,,3,1,,,,,,,10,4,1,,,,,3,5,10,,,,,,
2010,Nebraska,152,44,,,26,2,,3,2,1,10,,6,25,17,76,16,3,22,20,1,20,41,4,78,,3,,1,,
2010,Nevada,58,16,,,14,,1,,,,1,,2,9,4,35,4,2,4,10,1,12,11,4,30,,,1,,,
2010,New Hampshire,33,5,,,5,,,,,,,,,2,2,17,9,,1,,1,5,16,1,10,,,1,,,
2010,New Jersey,191,71,1,,61,1,,1,,,7,,,30,14,98,17,15,19,11,1,26,13,31,113,,5,1,,,
2010,New Mexico,31,12,,,5,,,3,,,4,,,8,8,12,3,3,3,,,3,8,8,12,,,,,,
2010,New York,675,231,4,,138,7,1,4,4,2,48,23,106,135,71,385,130,66,146,92,6,89,58,71,382,2,45,,1,,
2010,North Carolina,255,125,1,,102,7,,1,,,11,3,4,43,34,82,50,5,41,5,1,36,60,33,112,,,,1,,
2010,North Dakota,32,5,1,,2,,,1,1,,,,2,3,1,25,3,,,2,,8,13,,10,,,,,,
2010,Ohio,598,174,,,143,8,,3,5,2,12,1,5,43,27,255,138,8,75,36,5,78,145,72,200,2,8,,5,,
2010,Oklahoma,111,40,,,32,1,,3,,,4,,,3,2,61,14,1,11,4,,12,15,10,74,,,,,,
2010,Oregon,121,22,1,1,15,1,1,1,,,1,1,2,16,8,67,23,2,11,19,,19,28,4,63,,4,,,,
2010,Pennsylvania,269,83,3,1,69,4,,,,,6,,1,21,13,125,42,8,23,9,7,28,78,31,104,,2,3,4,,1
2010,Puerto Rico,40,3,,,,1,,,,,2,,,5,5,36,5,,6,,,2,30,2,6,,,,,,
2010,Rhode Island,52,14,,,13,,,,1,,,,8,16,13,23,2,,3,6,,5,7,9,26,,5,,,,
2010,South Carolina,76,34,,,29,2,,1,,,1,1,,7,2,27,8,3,12,7,,13,13,1,48,1,,,,,
2010,South Dakota,14,8,,,4,,,4,,,,,,,,5,1,,,,1,2,5,,6,,,,1,,
2010,Tennessee,160,75,3,,61,2,,1,,,5,3,6,17,8,62,23,11,31,22,,30,38,8,81,,1,,,,
2010,Texas,"1,001",423,4,,362,12,1,,,1,38,5,5,145,106,440,121,26,87,75,2,114,211,234,426,1,3,2,,,1
2010,Utah,45,5,1,,4,,,,,,,,,8,7,29,2,2,2,6,,4,5,8,26,,1,,,,
2010,Vermont,27,5,1,,3,1,,,,,,,1,2,1,17,5,,3,3,,3,16,3,5,,,,,,
2010,Virgin Islands,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
2010,Virginia,142,55,2,,49,1,,,,,,3,5,21,7,53,24,5,30,4,1,26,41,2,60,,,,1,,
2010,Washington,286,77,3,,64,2,1,2,1,1,2,1,2,33,21,167,29,7,20,45,,32,67,12,169,,2,,,,1
2010,West Virginia,53,19,,,14,1,,1,,,3,,,4,2,26,4,,7,9,,7,14,5,25,,,,,,
2010,Wisconsin,124,53,,,46,3,,1,1,,2,,,6,5,48,29,2,18,5,10,30,21,30,33,,,2,8,,
2010,Wyoming,6,1,,,1,,,,,,,,,1,1,4,,,1,,,1,,2,3,,,,,,
2010,Total,"10,326","3,536",51,4,"2,855",147,9,52,21,13,330,54,206,"1,248",751,"4,878","1,564",320,"1,200",787,58,"1,469","2,088","1,280","4,862",20,215,13,40,0,7
2011,Alabama,54,20,,,16,2,,,1,,,1,1,3,1,28,4,2,2,6,,7,21,11,14,,,,,,1
2011,Alaska,10,2,,,1,,,1,,,,,,1,1,5,1,1,1,1,,5,,,3,,,,,,2
2011,Arizona,211,53,2,1,41,1,,2,,,6,,1,24,13,127,12,7,15,20,,16,30,33,129,,1,,,,
2011,Arkansas,204,118,,,100,7,,,,,10,1,,9,7,56,19,,19,10,,55,31,36,76,,1,,,,
2011,California,861,148,8,,121,2,,2,,,13,2,4,103,68,467,176,12,74,180,,89,230,76,431,1,23,,,,1
2011,Colorado,113,32,,,28,1,,,1,,2,,1,14,11,66,6,5,12,29,,2,4,7,92,,5,,,,
2011,Connecticut,84,24,,,19,1,,,1,,2,1,4,9,7,56,3,,2,4,2,10,27,8,28,,7,,2,,
2011,Delaware,26,13,1,,11,,,1,,,,,,1,,15,1,,2,,,1,11,7,4,,3,,,,
2011,District of Columbia,27,7,1,,5,,,,,,1,,,4,1,17,,2,1,1,,3,11,,12,,,,,,
2011,Florida,478,131,,,110,5,,3,1,2,10,,15,91,60,247,57,13,42,28,1,66,81,38,254,,18,,1,,
2011,Georgia,101,43,2,,32,3,,,,,6,,2,16,11,38,12,5,15,6,2,19,11,14,54,1,,,1,,
2011,Hawaii,45,9,3,,2,,2,,,,2,,3,8,,32,4,,3,13,,1,10,7,24,,,,,,
2011,Idaho,101,7,,,7,,,,,,,,2,8,1,67,29,5,1,3,,33,38,17,10,,,,,,3
2011,Illinois,319,130,3,,118,3,,,,,6,,2,39,25,127,37,15,34,14,,47,24,84,145,5,,,,,
2011,Indiana,212,85,1,,67,7,,,,,8,2,1,20,8,89,24,5,29,8,,14,23,21,134,,1,,,,
2011,Iowa,226,71,3,,61,3,,2,,,1,1,3,22,13,94,33,3,32,10,,33,91,9,80,,10,,,,
2011,Kansas,92,32,1,1,25,,,2,,,3,,,15,13,33,12,,7,6,,12,24,20,36,,,,,,
2011,Kentucky,126,44,,,38,3,,,,1,2,,2,8,6,53,21,2,21,9,,19,22,1,69,,,,,,
2011,Louisiana,183,107,,1,94,1,,,,,11,,,6,3,71,20,3,20,9,,29,53,16,73,3,2,,,,1
2011,Maine,56,9,,,8,1,,,,,,,1,,,27,14,3,6,2,,7,16,5,22,,6,,,,
2011,Maryland,85,29,2,,26,,,,,,1,,2,6,1,50,13,,2,6,,13,10,16,44,,,,,,1
2011,Massachusetts,240,43,3,,30,5,,,,,4,1,4,41,35,93,70,1,7,10,3,8,14,35,110,,64,2,1,,
2011,Michigan,326,105,3,,95,,,1,,,6,,4,17,11,152,51,4,24,23,,10,62,32,206,,,,,,
2011,Minnesota,74,25,1,,23,,,1,,,,,2,9,,42,14,4,7,1,4,29,13,13,15,,,3,1,,
2011,Mississippi,24,11,,,9,,,,,,2,,1,,,9,3,,4,2,1,7,4,3,9,,,,1,,
2011,Missouri,314,136,1,,119,6,,,1,,8,1,,30,13,127,29,10,37,24,1,47,62,55,137,2,1,1,,,
2011,Montana,19,2,,,,,,2,,,,,,,,11,8,1,,1,1,,14,1,3,,,,1,,
2011,Nebraska,155,49,,1,38,2,,4,1,,3,,10,19,12,74,24,1,15,22,,18,58,4,71,,2,,,,
2011,Nevada,34,5,,,5,,,,,,,,,3,2,22,6,1,1,10,2,4,11,6,11,,,,2,,
2011,New Hampshire,25,1,,,1,,,,,,,,1,2,,18,5,,,2,2,2,6,3,12,,,1,1,,
2011,New Jersey,196,67,1,,56,1,,,1,2,4,2,1,45,25,109,26,11,31,4,,30,41,24,97,,1,,,,
2011,New Mexico,56,9,,,3,,,1,1,,4,,,10,7,37,6,1,5,2,1,11,12,9,23,,,,1,,
2011,New York,638,227,21,,152,3,1,2,1,,33,14,70,127,57,376,116,46,146,94,,74,55,73,358,,46,,,,1
2011,North Carolina,235,83,1,,73,4,,,,1,4,,1,64,58,82,43,1,16,5,,17,66,16,101,,2,,,,
2011,North Dakota,31,2,,,1,,,1,,,,,1,3,1,22,5,1,,8,,3,10,5,12,,,,,,
2011,Ohio,507,127,1,,106,8,,,,,11,1,3,23,9,212,158,8,47,24,4,67,108,46,187,,8,,3,,1
2011,Oklahoma,124,51,,,39,2,,2,2,,6,,,6,4,59,36,4,16,4,,24,19,14,66,,1,,,,
2011,Oregon,130,27,,1,22,,,2,,1,1,,2,20,15,75,21,3,5,23,,24,24,3,65,,7,,,,
2011,Pennsylvania,201,62,2,,52,4,,,,,4,,,18,9,95,19,2,22,14,7,16,53,18,93,2,4,4,3,,
2011,Puerto Rico,47,4,,,1,1,,,,,2,,,5,4,44,5,,9,,1,5,22,4,15,,,,,,
2011,Rhode Island,48,7,,,6,1,,,,,,,7,13,12,25,7,,2,5,,8,9,12,17,,1,,,,
2011,South Carolina,59,24,,,18,4,,,,1,1,,,9,9,25,3,3,5,1,,9,20,3,27,,,,,,
2011,South Dakota,6,3,,,1,,,2,,,,,,,,3,1,,1,1,,1,,1,4,,,,,,
2011,Tennessee,120,43,1,,30,5,,,,,5,2,8,10,6,61,10,6,20,13,1,11,33,8,62,,1,,1,,
2011,Texas,"1,180",478,5,1,408,7,,1,1,1,51,3,6,190,151,518,147,14,146,101,,128,229,325,485,3,3,,,,1
2011,Utah,59,,,,,,,,,,,,1,3,1,32,18,1,3,10,2,6,4,7,39,,,1,1,,
2011,Vermont,23,3,,,2,1,,,,,,,,,,17,3,1,2,3,,1,13,,5,,4,,,,
2011,Virgin Islands,2,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,
2011,Virginia,101,33,5,,24,2,1,,1,,,,2,17,5,44,15,5,7,3,,9,28,3,51,,,,,,
2011,Washington,275,70,4,,56,,1,1,,,6,2,,15,6,169,28,10,19,39,1,45,64,13,145,1,1,,1,,2
2011,West Virginia,44,15,,,12,2,,,,,1,,,1,1,15,7,,9,9,,3,7,5,24,,,,,,
2011,Wisconsin,97,23,,,21,1,,,,,1,,2,11,8,46,22,1,9,3,1,22,22,29,23,,,1,,,
2011,Wyoming,9,1,,,1,,,,,,,,,2,2,5,2,,,2,1,2,5,,1,,,1,,,
2011,Total,"9,013","2,851",76,6,"2,334",99,5,33,13,9,242,34,171,"1,120",713,"4,384","1,406",223,955,828,38,"1,123","1,856","1,197","4,208",18,223,14,21,0,14
